count before parallel: 0, address: 0x7ffc0ddd3280
count during parallel: 1, address: 0x7ffc0ddd3280
count during parallel: 2, address: 0x7ffc0ddd3280
count during parallel: 3, address: 0x7ffc0ddd3280
count during parallel: 4, address: 0x7ffc0ddd3280
count during parallel: 5, address: 0x7ffc0ddd3280
count during parallel: 6, address: 0x7ffc0ddd3280
count during parallel: 7, address: 0x7ffc0ddd3280
count during parallel: 8, address: 0x7ffc0ddd3280
count during parallel: 9, address: 0x7ffc0ddd3280
count during parallel: 10, address: 0x7ffc0ddd3280
count during parallel: 11, address: 0x7ffc0ddd3280
count during parallel: 12, address: 0x7ffc0ddd3280
count during parallel: 13, address: 0x7ffc0ddd3280
count during parallel: 14, address: 0x7ffc0ddd3280
count during parallel: 15, address: 0x7ffc0ddd3280
count during parallel: 16, address: 0x7ffc0ddd3280
count during parallel: 17, address: 0x7ffc0ddd3280
count during parallel: 18, address: 0x7ffc0ddd3280
count during parallel: 19, address: 0x7ffc0ddd3280
count during parallel: 20, address: 0x7ffc0ddd3280
count after parallel: 20, address: 0x7ffc0ddd3280
